name,price,type,color,psu,side_panel,external_volume,internal_35_bays
SilentiumPC Regnum RG6V EVO TG ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Jonsbo Jonsplus i100 Pro,0.00,Mini ITX Desktop,Black,,,25.9,1
GAMDIAS MARS M1,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Montech SKY ONE MINI,0.00,MicroATX Mini Tower,Black,,Tempered Glass,21.9,1
Montech SKY ONE MINI,0.00,MicroATX Mini Tower,White,,Tempered Glass,21.9,1
MSI MPG GUNGNIR 110R EVA e-PROJECT,0.00,ATX Mid Tower,Black / Purple,,Tempered Glass,,2
MSI MAG VAMPIRIC 300R PACIFIC BLUE,0.00,ATX Mid Tower,Blue,,Tempered Glass,54.1,2
ADATA XPG STARKER,0.00,ATX Mid Tower,White,,Tempered Glass,40,2
CiT Raider RGB,0.00,ATX Mid Tower,White / Black,,Tempered Glass,37.8,2
FSP Group CMT260,0.00,ATX Mid Tower,Black,,Tempered Glass,36.1,2
Cooler Master MasterBox MB520,0.00,ATX Mid Tower,Black / Red,,Acrylic,50.4,2
BGears b-Masstige,0.00,MicroATX Mini Tower,Black,,Tempered Glass,28.2,2
Jonsbo D300 4PCS,0.00,MicroATX Mid Tower,Black,,Tempered Glass,45.8,2
YEYIAN Dragoon,0.00,ATX Mid Tower,Black,,Tempered Glass,35.1,2
YEYIAN Haizen 2500,0.00,MicroATX Mid Tower,Black,,Tempered Glass,24.7,2
Aerocool Viewport Mini V2,0.00,MicroATX Mini Tower,White,,Tempered Glass,35,1
SilentiumPC Aquarius X70W,0.00,ATX Mid Tower,Black,,Acrylic,59.1,2
Ocypus Gamma C72,0.00,ATX Mid Tower,White,,Tempered Glass,43,2
In Win 904,69.98,ATX Mid Tower,Black,,Tempered Glass,,3
Geometric Future Model 5 Vent Fanless,109.9,ATX Mid Tower,White,,Tempered Glass,53.8,2
Geometric Future Model 5 Fanless,109.9,ATX Mid Tower,Black / Yellow,,Tempered Glass,51.1,2
Cooler Master Elite 500,0.00,ATX Mid Tower,Black,,,38,2
Silverstone ALTA F1,299.55,ATX Mid Tower,Black,,Tempered Glass,56.8,2
Azza Chroma 410,120,ATX Mid Tower,Black,,Acrylic,,2
Cooler Master MasterBox TD500 Mesh V2 Chun-Li,0.00,ATX Mid Tower,White / Blue,,Tempered Glass,52.4,2
Silverstone FTZ01,181.99,Mini ITX Desktop,Silver,,,,1
Silverstone SETA A1,0.00,ATX Mid Tower,Pink / Silver,,Tempered Glass,45.7,2
BitFenix Tracery,0.00,ATX Mid Tower,Black,,Tempered Glass,52.8,4
Thermaltake Suppressor F31 TG,0.00,ATX Mid Tower,Black,,Tempered Glass,64,3
KOLINK Unity Solar Mesh ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,42.3,2
RAIJINTEK Thetis,0.00,ATX Mid Tower,Black,,,27.7,2
Cooler Master MasterCase SL600M Black Edition,0.00,ATX Mid Tower,Black,,Tempered Glass,,4
Thermaltake Divider 200 TG Air,0.00,MicroATX Mini Tower,White,,Tempered Glass,51.6,3
Chieftec BX-10B-OP,0.00,MicroATX Mid Tower,Black,,Tempered Glass,28.8,1
Cooler Master MasterBox 500,0.00,ATX Mid Tower,Black,,Tempered Glass,52.4,2
ADATA XPG Battlecruiser II,179.99,ATX Mid Tower,White,,Tempered Glass,62.6,5
KOLINK Unity Meshbay ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,41,2
BitFenix Prodigy M,0.00,MicroATX Mini Tower,Black,,,35.9,4
Cougar MX340,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Cougar MX350 MESH-X,0.00,ATX Mid Tower,Black,,,39.4,2
Thermaltake Ceres 330 ARGB,0.00,ATX Mid Tower,Blue,,Tempered Glass,53.9,1
Corsair Carbide Series 678C,0.00,ATX Mid Tower,White / Black,,Tempered Glass,65.2,6
Thermaltake AH T200,0.00,MicroATX Mid Tower,Black,,Tempered Glass,69.1,2
Jonsbo MOD-3 Mini,0.00,MicroATX Mid Tower,Gray,,Tempered Glass,76.4,1
Cooler Master Elite 120 Advanced,0.00,Mini ITX Tower,Black / Silver,,,19.7,3
Anidees AI Crystal Cube,0.00,ATX Mid Tower,,,Tinted Tempered Glass,50.5,3
Cougar MX331 MESH-G,0.00,ATX Mid Tower,Black,,Tempered Glass,43.5,2
Lian Li Q58 (PCIe 3.0),0.00,Mini ITX Desktop,White,,Tempered Glass,14.5,0
Cougar Dust 2,0.00,Mini ITX Tower,Black / Gold,,Mesh,23.6,0
Jonsbo VR4,0.00,ATX Mid Tower,White,,Mesh,37.8,2
Cougar Airface Pro RGB,0.00,ATX Mid Tower,White,,Tempered Glass,55.4,2
Jonsbo D32 PRO MESH,0.00,MicroATX Desktop,,,Mesh,25.7,2
Cooler Master HAF X,0.00,ATX Full Tower,Black,1000,Acrylic,75,5
Lian Li PC-Q09,0.00,Mini ITX Desktop,Black,110,,5.5,0
Foxconn G-007(H),0.00,MicroATX Mid Tower,Black,,,45.4,4
Raidmax Thunder ATX-315WB,0.00,ATX Mid Tower,Black / Silver,,Acrylic,36.2,5
NZXT Source 210 Elite,0.00,ATX Mid Tower,White / Black,,,42.4,8
Azza Solano 1000R,0.00,ATX Full Tower,Black,,Acrylic,56,8
Rosewill BLACKHAWK-ULTRA,0.00,ATX Full Tower,Black,,,100.6,10
NZXT Phantom 410,0.00,ATX Mid Tower,Black,,Acrylic,58.5,6
CiT Vantage,0.00,ATX Mid Tower,Black / Yellow,,,37.5,5
Antec VSK-3000,0.00,MicroATX Mid Tower,Black,,,,2
Cooler Master K280,0.00,ATX Mid Tower,Black,,,,6
Cooler Master Cosmos SE,0.00,ATX Mid Tower,Black,,Acrylic,78.4,8
Corsair Graphite Series 230T Windowed,0.00,ATX Mid Tower,Black / Gray,,Acrylic,,4
Nanoxia NXDS6B,0.00,ATX Full Tower,Black,,,,13
Fractal Design Core 1500,0.00,MicroATX Mini Tower,Black,,,32.5,4
Rosewill I5-397,0.00,ATX Mini Tower,Black,450,,37,6
Rosewill Neutron,0.00,Mini ITX Desktop,Black,,Acrylic,38.9,3
BitFenix Prodigy M,0.00,MicroATX Mini Tower,Black / Orange,,Acrylic,35.9,4
Sentey GS-6011,0.00,ATX Mid Tower,Black / Blue,,Acrylic,,3
Silverstone RVZ02B,0.00,HTPC,Black,,,,1
be quiet! Silent Base 600,0.00,ATX Mid Tower,Black,,Acrylic,,3
Aerocool CS-101,0.00,MicroATX Slim,Black,,,,1
Rosewill NIGHTHAWK 117,0.00,ATX Full Tower,Black,,Acrylic,,8
ABS R206-ITX,0.00,MicroATX Mini Tower,Black,,,39.1,1
NZXT Manta,0.00,Mini ITX Desktop,Black / Red,,Acrylic,,2
be quiet! Dark Base 900,0.00,ATX Full Tower,Black / Orange,,Acrylic,82,7
NOX Hummer ZS,0.00,ATX Mid Tower,Black,,Acrylic,43.6,2
NOX Hummer ZS,0.00,ATX Mid Tower,White,,Acrylic,43.6,2
Aerocool P7-C1,0.00,ATX Mid Tower,Black,,Acrylic,60.2,2
Phanteks Eclipse P400,0.00,ATX Mid Tower,Black / White,,Tinted Tempered Glass,45.9,2
Phanteks Eclipse P400,0.00,ATX Mid Tower,White,,Tinted Tempered Glass,45.9,2
Antec Sonata II,0.00,ATX Mid Tower,Black,450,,,4
Corsair Carbide Series SPEC-04,0.00,ATX Mid Tower,Black / Yellow,,Acrylic,42.8,3
Thermaltake Core X5 Riing Edition,0.00,ATX Desktop,Green / Black,,Acrylic,92.8,4
NZXT H200i,0.00,Mini ITX Tower,Black,,Tempered Glass,27.3,1
DAN Cases A4 SFX,0.00,Mini ITX Desktop,Silver,,,,0
In Win 101C,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,2
Phanteks Eclipse P300,0.00,ATX Mid Tower,,,Tinted Tempered Glass,36,2
Thermaltake View 71 TG RGB Plus,0.00,ATX Full Tower,Black / Silver,,Acrylic,,4
Fractal Design Meshify S2,0.00,ATX Mid Tower,Black,,,58.3,3
Raidmax NEON RGB,0.00,ATX Mid Tower,Black,,Acrylic,,2
BitFenix Nova Mesh,0.00,ATX Mid Tower,Black,,Acrylic,41.4,2
Deepcool MATREXX 50 ADD-RGB 3F,0.00,ATX Mid Tower,Black,,Tempered Glass,44.5,2
Cooler Master Silencio S600,0.00,ATX Mid Tower,Black,,Tempered Glass,47,4
Circle CG830,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,3
Golden Field Z3,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
DIYPC Shadow-H3-ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,3
GameMax Black Diamond ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
SHARKOON REV 200,0.00,ATX Mid Tower,Black,,Tempered Glass,50.5,2
Apevia Prodigy,0.00,MicroATX Mini Tower,Pink,,Tempered Glass,32.5,2
Lian Li Q58 (PCIe 3.0),0.00,Mini ITX Desktop,Black,,Tempered Glass,14.5,0
GAMDIAS ATHENA M2 ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Antec NX700,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Vetroo M01,0.00,MicroATX Mid Tower,White / Black,,Tempered Glass,36.6,2
Raidmax X616,0.00,ATX Mid Tower,Black,,Tempered Glass,42.9,2
OCPC MICRO,0.00,MicroATX Mid Tower,Black,,,12.7,0
Jonsbo D500,0.00,ATX Full Tower,Black,,Tempered Glass,90.8,10
Cooler Master Silencio S400 Sakura Limited Edition,0.00,MicroATX Mini Tower,White / Pink,,Tempered Glass,,4
Apevia Guardian-M,0.00,ATX Mid Tower,Black,,Tempered Glass,39.5,2
Apevia Destiny Flow,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
GALAX REV-05,0.00,ATX Full Tower,Black,,Tempered Glass,39.5,2
GameMax Aero Mini Eco,0.00,MicroATX Mini Tower,Black / White,,Tempered Glass,31.5,2
EVOLVEO Nate 2,0.00,ATX Mid Tower,,,Acrylic,36.6,2
Inter-Tech C-703 Vision,0.00,ATX Mid Tower,Black,,Tempered Glass,56.4,2
SSUPD Meshroom S V2 w/PCIe 4.0 Riser,0.00,MicroATX Mini Tower,Black,,Mesh,14.9,2
SSUPD Meshroom S V2 w/PCIe 4.0 Riser,0.00,MicroATX Mini Tower,White,,Mesh,14.9,2
BitFenix CETO Premium,0.00,ATX Mid Tower,White,,Tempered Glass,49,3
In Win ModFree Base,179,ATX Full Tower,Black,,Tempered Glass,57.2,1
GAMDIAS NESO P1,149.99,ATX Full Tower,,,Tempered Glass,75.2,5
Silverstone FARA 313,0.00,MicroATX Mid Tower,Black,,,26.7,3
Azza Cast 808,0.00,ATX Mid Tower,Black,,,,1
Jonsbo D40,0.00,ATX Mid Tower,Silver / Black,,Tempered Glass,31.6,3
Azza Octane A,99.99,ATX Mid Tower,Black,,Tempered Glass,44.8,2
Silverstone FTZ01-E,200.69,Mini ITX Desktop,Black,,,,0
Tempest Spectra RGB,0.00,ATX Mid Tower,White / Black,,Acrylic,,2
Geometric Future Model 8,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,57.5,3
Cooler Master MasterBox TD500 Mesh V2 Ryu,0.00,ATX Mid Tower,White / Red,,Tempered Glass,52.4,2
Aerocool CS-107,0.00,MicroATX Mini Tower,Black,,Tempered Glass,23.7,1
Jonsbo D400,0.00,ATX Mid Tower,White,,Tempered Glass,59.9,2
Cooler Master Elite 502,0.00,ATX Mid Tower,White,,Tempered Glass,52.4,2
Cooler Master MasterBox MB500 ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,49.5,2
Zalman R2,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,2
RAIJINTEK PAN Slim,0.00,Mini ITX Desktop,White,,,38.7,2
Vetroo K1,0.00,ATX Mid Tower,Silver,,Tempered Glass,37.4,2
GameMax Revolt,0.00,ATX Mid Tower,Black,,Tempered Glass,40.7,2
Jonsbo U4 Pro,0.00,ATX Mid Tower,White,,Tempered Glass,34.5,1
Cooler Master Silencio 652S,0.00,ATX Mid Tower,Black,,,,9
Supermicro S5,0.00,ATX Mid Tower,Black / Red,,,,6
Thermaltake Level 20 HT Snow Edition,0.00,ATX Full Tower,,,Tempered Glass,144.3,4
BitFenix Nova Mesh SE,0.00,ATX Mid Tower,White / Purple,,Tempered Glass,36.1,2
Aerocool Tor Pro,0.00,ATX Full Tower,Black,,Tempered Glass,66.8,2
Antec Sonata III,0.00,ATX Mid Tower,Black,500,,40.2,4
Antec Skeleton,0.00,ATX Mini Tower,Silver / Black,,,51.9,2
Cooler Master Cosmos S,0.00,ATX Full Tower,Black / Gray,,,99.2,4
Silverstone FT03,0.00,MicroATX Mini Tower,Black,,,32.2,3
Cooler Master HAF X,0.00,ATX Full Tower,Black,,Acrylic,75,5
Xigmatek Elysium,0.00,ATX Full Tower,Black / Silver,,Acrylic,93.9,8
nMEDIAPC HTPC 8000,0.00,HTPC,Brown,,,49.6,4
NZXT Source 220,0.00,ATX Mid Tower,Black,,,43.4,8
Sentey SS1-2420,0.00,MicroATX Slim,Black,250,,13.3,1
Lian Li PC-V650,0.00,ATX Mini Tower,Silver,,,38.2,7
NZXT Phantom 630,0.00,ATX Full Tower,Gunmetal,,Acrylic,92,6
Cooler Master Elite 330U,0.00,ATX Mid Tower,Black,350,,40.7,5
Cooler Master Elite 344,0.00,ATX Mini Tower,Silver,350,,28.2,5
Apevia X-Dreamer4,0.00,ATX Mid Tower,Pink,,Acrylic,43.1,4
Thermaltake Chaser A71,0.00,ATX Full Tower,Black,,Acrylic,66.3,5
Apevia X-Sniper2,0.00,ATX Mid Tower,Black / Green,,Acrylic,,4
Fractal Design Arc XL,0.00,ATX Full Tower,Black,,Acrylic,72.8,8
Aerocool Strike-X One,0.00,ATX Mid Tower,Black / Red,,,,6
NZXT Phantom,0.00,ATX Full Tower,Black / Red,,,74.3,7
Thermaltake Versa H23,0.00,ATX Mid Tower,Black,,Acrylic,43.7,3
NZXT H440,0.00,ATX Mid Tower,Black / Green,,Acrylic,53.3,8
Corsair Graphite Series 780T,0.00,ATX Full Tower,Black / Yellow,,Acrylic,109.9,6
Fractal Design Core 1300,0.00,MicroATX Mini Tower,Black,,,32.5,2
Corsair Carbide Series 330R Titanium Edition,0.00,ATX Mid Tower,Black / Silver,,,49.9,4
Raidmax Hyperion,0.00,MicroATX Mid Tower,Black / Blue,,Acrylic,,5
Thermaltake Core X9 Snow Edition,0.00,ATX Desktop,White,,Acrylic,,7
NZXT Noctis 450,0.00,ATX Mid Tower,White / Blue,,Acrylic,,6
Aerocool Aero-800,0.00,ATX Mid Tower,Black / White,,Acrylic,,2
NZXT H440,0.00,ATX Mid Tower,White / Black,,Acrylic,53.3,8
Antec P380,0.00,ATX Full Tower,Black,,Acrylic,,8
Cooler Master MasterCase Maker 5,0.00,ATX Mid Tower,Black,,Acrylic,,5
be quiet! Dark Base 900,0.00,ATX Full Tower,Black,,Acrylic,82,7
Rosewill B2-SPIRIT,0.00,ATX Full Tower,Black,,Acrylic,,13
Cooler Master MasterCase Pro 3,0.00,MicroATX Mini Tower,Black,,Acrylic,55.4,2
NZXT H440 Hyper Beast,0.00,ATX Mid Tower,Blue,,Acrylic,53.3,8
Silverstone RL06,0.00,ATX Mid Tower,Black / Red,,Acrylic,43.4,3
SHARKOON TG5,0.00,ATX Mid Tower,Black / Green,,Acrylic,,3
LC-Power 991B Lighthouse,0.00,ATX Mid Tower,Black,,Tempered Glass,51.6,3
Corsair Carbide Series SPEC OMEGA,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,3
Xigmatek Scorpio,0.00,MicroATX Mid Tower,Black,,Tempered Glass,30.1,2
Thermaltake Versa J23 RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Fractal Design Define R6 USB-C,0.00,ATX Mid Tower,Black / White,,,56.7,6
Antec Dark Fleet DF500 RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Rosewill CULLINAN MX-Red,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,47.2,4
Silverstone CS280B,0.00,Mini ITX Tower,Black / Silver,,,,0
Thermaltake H100 TG,0.00,ATX Mid Tower,Black,,Tempered Glass,39.7,2
Rosewill SPECTRA X,0.00,ATX Mid Tower,Black,,Tempered Glass,,5
Rosewill PRISM S,0.00,ATX Mid Tower,Black,,Tempered Glass,46.9,3
Antec NX500,0.00,ATX Mid Tower,Black,,Tempered Glass,47.4,2
MagniumGear Neo Silent,0.00,ATX Mid Tower,Black,,Tempered Glass,41.4,2
Jonsbo C3 Plus,0.00,MicroATX Mini Tower,Silver,,Tempered Glass,31.2,4
Maingear Vybe Mk. V,0.00,ATX Mid Tower,Red / Black,,Tempered Glass,38.4,2
BitFenix Dawn TG,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
MagniumGear NEO Qube,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Fractal Design Define 7,0.00,ATX Mid Tower,Black / White,,,62.4,6
Cougar MX330-G Air,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
FSP Group CMT230,0.00,ATX Mid Tower,Black,,Acrylic,36.9,2
SAMA Sama-3D,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master MasterCase H500P Mesh ARGB,0.00,ATX Mid Tower,Gray,,Tempered Glass,71.4,2
RAIJINTEK PONOS MS,0.00,ATX Mid Tower,Black,,Tempered Glass,45,3
Jonsbo U4,0.00,ATX Mid Tower,Black,,Tempered Glass,29.8,2
Apevia Predator,0.00,ATX Mid Tower,Black,,Tempered Glass,35.7,3
Fractal Design Define 7 Compact,0.00,ATX Mid Tower,White,,,42.5,2
SilentiumPC Signum SG1,0.00,ATX Mid Tower,Black,,,,2
Jonsbo T8,0.00,Mini ITX Desktop,Black,,Tempered Glass,8.4,1
Tempest Aura ARGB,0.00,ATX Mid Tower,Black,,Acrylic,,2
GAMDIAS ARGUS E3,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
GAMDIAS ATHENA E1 ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
darkFlash DLC29,0.00,ATX Mid Tower,Black,,,38.6,2
MUSETEX Y4,0.00,ATX Mid Tower,Black,,Tempered Glass,32.9,2
Antec NX292,0.00,ATX Mid Tower,White,,Tempered Glass,37.6,2
CiT Dark Star,0.00,ATX Mid Tower,Black,,Acrylic,41.3,2
DIYPC ARGB-Q01,0.00,MicroATX Mini Tower,Black,,Tempered Glass,40,2
RAIJINTEK OPHION 7L,0.00,Mini ITX Desktop,Black,,Mesh,7.1,0
Vetroo M05,0.00,MicroATX Mid Tower,Pink,,Tempered Glass,36.3,2
GameMax Brufen C3,0.00,ATX Mid Tower,Black / Blue,,Tempered Glass,42.2,2
GameMax Dragon Knight,0.00,ATX Mid Tower,Black,,Acrylic,59.1,8
GameMax G563,0.00,ATX Mid Tower,Black,,Acrylic,37.8,2
YEYIAN Phoenix,0.00,ATX Mid Tower,Black,,Tempered Glass,47.3,2
Xigmatek Cubi,0.00,ATX Mid Tower,Black,,Tempered Glass,62.8,2
SHARKOON Rebel C70G RGB,0.00,ATX Mid Tower,Brown / White,,Tempered Glass,54.5,3
Armoury C802,0.00,ATX Mid Tower,Black,,Tempered Glass,51.4,2
RAIJINTEK OPHION M EVO ALS,69.9,MicroATX Mid Tower,Black,,,,3
Geometric Future Model 2 The ARK,99.9,MicroATX Mini Tower,Gray / Black,,Tempered Glass,40.7,1
iStarUSA S-917,211.96,Mini ITX Tower,Black,,,28.2,0
BitFenix Prodigy M 2022 ARGB,0.00,MicroATX Mini Tower,Black / White,,Tempered Glass,,2
Silverstone FARA R1 PRO,108.86,ATX Mid Tower,White,,Tempered Glass,36,1
Silverstone FARA 514X,0.00,ATX Mid Tower,White,,Tempered Glass,49.7,2
KOLINK Unity Solar Mesh ARGB,0.00,ATX Mid Tower,White,,Tempered Glass,42.3,2
Antec CX600M RGB,0.00,MicroATX Mini Tower,Black,,Tempered Glass,46.8,1
Cougar Spike,0.00,MicroATX Mini Tower,Black,,,28.2,2
Phanteks Enthoo EVOLV SHIFT X,0.00,Mini ITX Tower,Black,,Tinted Tempered Glass,,2
Cooler Master MasterBox K500 ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,46.9,2
Silverstone SETA Q1,0.00,ATX Mid Tower,Black,,,56.2,2
Silverstone GD06B,0.00,HTPC,Black,,,22.4,4
RAIJINTEK OPHION,0.00,Mini ITX Desktop,Black,,Acrylic,,1
Cougar DarkBlader X5,177.76,ATX Mid Tower,White,,Tempered Glass,50,2
Zalman R2,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Cougar MX430 Mesh RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,37.6,2
Jonsbo U5,0.00,ATX Mid Tower,Silver,,Tempered Glass,40.3,2
Cougar Airface RGB,0.00,ATX Mid Tower,White,,Tempered Glass,43.6,2
RAIJINTEK PAEAN MINI,0.00,Mini ITX Tower,Black,,Tempered Glass,26,1
KOLINK Tranquility,0.00,ATX Mid Tower,Black,,,40.6,2
Thermaltake A500,0.00,ATX Mid Tower,Silver / Black,,Tempered Glass,67.4,6
Aerocool Playa Slim,0.00,MicroATX Mini Tower,Black,,,,1
Zalman X3,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,,2
Jonsbo MOD-3,0.00,ATX Mid Tower,Gray,,Tempered Glass,93.1,1
BitFenix Prodigy M 2022,0.00,MicroATX Mini Tower,Black / White,,Tempered Glass,,2
Cougar MG140 Air RGB,0.00,MicroATX Mini Tower,White / Black,,Tempered Glass,35.3,2
Cougar Dust 2,0.00,Mini ITX Tower,Black / Gray,,Mesh,23.6,0
LC-Power Gaming 808B Skylla_X,0.00,ATX Mid Tower,Black,,Tempered Glass,50.7,2
Zalman P30 AIR,0.00,MicroATX Mini Tower,Black,,Tempered Glass,44.6,2
Apevia X-Cruiser,0.00,ATX Mid Tower,Black / Silver,,Acrylic,41.2,5
Logisys CS888CL,0.00,ATX Mid Tower,Clear,,,43.3,6
NZXT Phantom,0.00,ATX Full Tower,Pink / Black,,,74.3,7
In Win BK623.BN300TBL,0.00,MicroATX Mini Tower,Black,300,,12.3,1
Thermaltake Commander MS-I ID,0.00,ATX Mid Tower,Black,,Acrylic,41.1,5
Thermaltake Commander MS/I Snow Edition,0.00,ATX Mid Tower,White / Black,,Acrylic,41.9,5
NZXT Switch 810,0.00,ATX Full Tower,Black,,Acrylic,81.3,6
Cooler Master CM 690 II,0.00,ATX Mid Tower,Black,,,57.4,6
Cooler Master Storm Scout 2,0.00,ATX Mid Tower,White,,Acrylic,61.6,7
Xion XON-720P,0.00,MicroATX Slim,White,300,,10.4,1
Topower TP-1687BS-400,0.00,MicroATX Desktop,Black / Silver,400,,15.4,1
BitFenix Phenom M,0.00,MicroATX Mini Tower,Black,,,30.6,5
Apevia X-Hermes,0.00,ATX Mid Tower,Black / Blue,,Acrylic,44.7,4
Corsair Graphite Series 230T,0.00,ATX Mid Tower,Black / Orange,,Acrylic,,4
Fractal Design Arc Midi R2,0.00,ATX Mid Tower,Black,,,55.6,8
Antec Eleven Hundred V2,0.00,ATX Mid Tower,Black,,Acrylic,67.6,6
Phanteks Enthoo Luxe,0.00,ATX Full Tower,White / Black,,Acrylic,72.4,6
Lian Li PC-A79,0.00,ATX Full Tower,Silver,,,,6
Thermaltake Core V51,0.00,ATX Mid Tower,Black,,Acrylic,71.2,5
Nanoxia Deep Silence 5,0.00,ATX Full Tower,Black,,,,11
Lian Li PC-T80,0.00,ATX Test Bench,Black,,,,6
CiT Vanquish,0.00,ATX Mid Tower,Black / Red,,Acrylic,,5
Rosewill Stryker M,0.00,ATX Mid Tower,Black,,Acrylic,,3
Phanteks Enthoo Primo,0.00,ATX Full Tower,Black / White,,Acrylic,,6
Phanteks Enthoo Pro M,0.00,ATX Mid Tower,Green,,Acrylic,56.4,2
Aerocool Aero-800,0.00,ATX Mid Tower,Black,,Acrylic,,2
Zalman R1,0.00,ATX Mid Tower,Black,,Acrylic,,4
Xion Xon-350,0.00,ATX Mid Tower,Black,,,23.7,2
Antec P182,0.00,ATX Mid Tower,Black,,,55.7,6
NOX Hummer MC,0.00,ATX Mid Tower,White / Blue,,Acrylic,43.6,2
Corsair Carbide Series SPEC-ALPHA,0.00,ATX Mid Tower,Black / Yellow,,Acrylic,,3
Lian Li PC-Q20,0.00,Mini ITX Tower,Black,,,7.2,0
Silverstone PM01,0.00,ATX Mid Tower,Black,,Acrylic,70.3,4
Apevia X-Mirage,0.00,ATX Mid Tower,Pink,,Acrylic,41.8,2
GameMax FALCON WHITE RGB,0.00,ATX Mid Tower,White / Black,,Acrylic,,2
SHARKOON VG4-W,0.00,ATX Mid Tower,Black / Red,,Acrylic,38.3,3
Aerocool V3X Advance,0.00,ATX Mid Tower,Black,,,30.4,3
Phanteks Enthoo EVOLV ITX TG,0.00,Mini ITX Desktop,Black / Red,,Tinted Tempered Glass,34.1,2
Lian Li PC-O8X,0.00,ATX Mid Tower,Gold,,Tempered Glass,,6
In Win BM639.AD160TBL,0.00,Mini ITX Tower,Black,,,6.8,1
NZXT H700i,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,58.6,2
SHARKOON S25-S,0.00,ATX Mid Tower,Black,,Acrylic,43.9,3
Aerocool P7-C0,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
EVGA DG-77,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Streacom BC1 Mini,0.00,Mini ITX Test Bench,Silver,,,,0
NZXT H500i,0.00,ATX Mid Tower,Black / Blue,,Tempered Glass,41.3,3
Rosewill METEOR XR,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Thermaltake Versa J21,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
be quiet! Dark Base 700,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,7
Antec VSK10 Window,0.00,MicroATX Mid Tower,Black,,Acrylic,,2
Fractal Design Vector RS Blackout,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,64.1,6
In Win EFS052,0.00,ATX Mini Tower,Black,,,25.4,0
KOLINK INSPIRE K2 RGB,0.00,MicroATX Mini Tower,Black,,Tempered Glass,28.2,2
AvP Arion RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,34.6,2
Deepcool MATREXX 55 V3 ADD-RGB WH,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,2
NOX Hummer TGF,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
darkFlash DLM 21 Mesh,0.00,MicroATX Mini Tower,White,,Tempered Glass,32.1,2
Apevia Predator,0.00,ATX Mid Tower,Pink,,Tempered Glass,35.7,3
SilentiumPC Signum SG7V EVO TG ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,3
Aerocool Atomic V2,0.00,MicroATX Mini Tower,Black,,Tempered Glass,36.2,2
MS Cyclops V,0.00,ATX Mid Tower,Black,,Acrylic,,3
Tempest Spectra RGB,0.00,ATX Mid Tower,Black,,Acrylic,,2
Aerocool Mecha,0.00,ATX Mid Tower,Black,,Tempered Glass,33.5,2
Jonsbo MOD5,0.00,ATX Mid Tower,White / Black,,Tempered Glass,97.2,1
Silverstone CS330B,0.00,MicroATX Mini Tower,Black,,,30.2,4
SAMA Sama-S88-BK,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,37.7,2
GameMax Contac Turbo COC,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,43,2
GameMax Contac Turbo COC,0.00,ATX Mid Tower,White / Black,,Tempered Glass,43,2
Vetroo AL600,0.00,ATX Mid Tower,White,,Tempered Glass,41.7,3
Antec DF800 FLUX,0.00,ATX Mid Tower,White,,Tempered Glass,,3
In Win Explorer,0.00,Mini ITX Desktop,White,,Tempered Glass,34.3,1
